[Jan/20/2020 | 15:25:42.394] [LOG]    |2337416 starting download. . .
[Jan/20/2020 | 15:25:45.525] [LOG]    			 94308/2337488 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 15:25:47.093] [LOG]    94299|2337488|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:25:49.884] [LOG]    94308|2337488|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:26:56.323] [LOG]    |2337416 archive downloaded
[Jan/20/2020 | 15:26:56.324] [LOG]    |2337416 Extracting . . .
[Jan/20/2020 | 15:27:00.557] [LOG]    |2337474 starting download. . .
[Jan/20/2020 | 15:27:00.977] [LOG]    94297|2337416 1 Orphan(s) found
[Jan/20/2020 | 15:27:02.638] [LOG]    94297|2337416|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:27:03.500] [LOG]    94293|2337416|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:27:25.872] [LOG]    |2337487 archive downloaded
[Jan/20/2020 | 15:27:25.872] [LOG]    |2337487 Extracting . . .
[Jan/20/2020 | 15:27:40.630] [LOG]    2337488 already downloaded or downloading (/home/jcm/matches/2337488/archive.rar), skipping. . .
[Jan/20/2020 | 15:27:40.680] [LOG]    94308|2337488|Fri, 01 Nov 2019 03:35:00 GMT
[Jan/20/2020 | 15:27:40.681] [LOG]    [Error: EEXIST: file already exists, open '/home/jcm/matches/2337488/archive.rar'] {
  errno: -17,
  code: 'EEXIST',
  syscall: 'open',
  path: '/home/jcm/matches/2337488/archive.rar'
}
[Jan/20/2020 | 15:27:41.634] [LOG]    2337416 already downloaded or downloading (/home/jcm/matches/2337416/archive.rar), skipping. . .
[Jan/20/2020 | 15:27:41.636] [LOG]    94293|2337416|Fri, 01 Nov 2019 02:10:00 GMT
[Jan/20/2020 | 15:27:41.636] [LOG]    [Error: EEXIST: file already exists, open '/home/jcm/matches/2337416/archive.rar'] {
  errno: -17,
  code: 'EEXIST',
  syscall: 'open',
  path: '/home/jcm/matches/2337416/archive.rar'
}
[Jan/20/2020 | 15:27:42.638] [LOG]    |2337485 starting download. . .
[Jan/20/2020 | 15:27:45.322] [LOG]    			 94312/2337487 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 15:27:47.519] [LOG]    94302|2337487|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:27:49.242] [LOG]    ERROR!! Rolling back...
[Jan/20/2020 | 15:27:49.245] [LOG]    94312|2337487|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:28:36.473] [LOG]    |2337474 archive downloaded
[Jan/20/2020 | 15:28:36.473] [LOG]    |2337474 Extracting . . .
[Jan/20/2020 | 15:28:36.491] [LOG]    |2337489 starting download. . .
[Jan/20/2020 | 15:28:44.644] [LOG]    94292|2337474|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:30:08.299] [LOG]    |2337485 archive downloaded
[Jan/20/2020 | 15:30:08.300] [LOG]    |2337485 Extracting . . .
[Jan/20/2020 | 15:30:16.149] [LOG]    |2337492 starting download. . .
[Jan/20/2020 | 15:30:18.365] [LOG]    			 94309/2337485 Fetched matchMapStats. (No orphans found.)
[Jan/20/2020 | 15:30:20.145] [LOG]    94304|2337485|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:30:21.617] [LOG]    94309|2337485|2019-11-01 imported to Map table.
[Jan/20/2020 | 15:32:01.958] [LOG]    |2337489 archive downloaded
[Jan/20/2020 | 15:32:01.958] [LOG]    |2337489 Extracting . . .
[Jan/20/2020 | 15:32:02.117] [LOG]    |2337414 starting download. . .
[Jan/20/2020 | 15:32:16.145] [LOG]    94301|2337489|2019-10-31 imported to Map table.
[Jan/20/2020 | 15:32:16.259] [LOG]    			 94310/2337489 Fetched matchMapStats. (No orphans found.)
